athleteName,clubName,countryName,source
Sergio Romero,Manchester United F.C.,Argentina,DBpedia
Nemanja Vidić,Manchester United F.C.,Serbia,DBpedia
Bjarne Goldbæk,Chelsea F.C.,Danish Realm,DBpedia
Nick Colgan,Chelsea F.C.,Republic of Ireland,DBpedia
Junior Mendes,Chelsea F.C.,United Kingdom,DBpedia
Lennard Sowah,Arsenal F.C.,Germany,DBpedia
Beaumont Asquith,Manchester United F.C.,England,DBpedia
John Grimwood,Manchester United F.C.,United Kingdom,DBpedia
Colin Hoyle,Arsenal F.C.,United Kingdom,DBpedia
Colin Waldron,Manchester United F.C.,United Kingdom,DBpedia
Johnny Downie,Manchester United F.C.,United Kingdom,DBpedia
Ian Moir (footballer),Manchester United F.C.,United Kingdom,DBpedia
Joe Hanrahan,Manchester United F.C.,Republic of Ireland,DBpedia
Joe Fall,Manchester United F.C.,United Kingdom,DBpedia
"John Christie (footballer, born 1881)",Manchester United F.C.,United Kingdom,DBpedia
Sid Tickridge,Chelsea F.C.,United Kingdom,DBpedia
Laurence Abrams,Chelsea F.C.,United Kingdom,DBpedia
Thomas Drain,Arsenal F.C.,Scotland,DBpedia
Theo Lewis,Chelsea F.C.,United Kingdom,DBpedia
Chris Regis,Arsenal F.C.,United Kingdom,DBpedia
"George Luke (footballer, born 1948)",Chelsea F.C.,United Kingdom,DBpedia
"Mark Howard (footballer, born January 1986)",Manchester United F.C.,United Kingdom,DBpedia
"John Anderson (footballer, born 1878)",Arsenal F.C.,United Kingdom,DBpedia
Petar Borota,Chelsea F.C.,Serbia,DBpedia
Adam Coombes,Chelsea F.C.,United Kingdom,DBpedia
José Antonio Reyes,Arsenal F.C.,Spain,DBpedia
Steve Sidwell,Chelsea F.C.,United Kingdom,DBpedia
Harold Halse,Manchester United F.C.,United Kingdom,DBpedia
Russell Beardsmore,Manchester United F.C.,United Kingdom,DBpedia
Kalam Mooniaruck,Manchester United F.C.,United Kingdom,DBpedia
Fred Hopkin,Manchester United F.C.,United Kingdom,DBpedia
"Joe Murphy (footballer, born 1873)",Arsenal F.C.,United Kingdom,DBpedia
Ralph Birkett,Arsenal F.C.,United Kingdom,DBpedia
Bill Allison (footballer),Arsenal F.C.,United Kingdom,DBpedia
Carney Chukwuemeka,Chelsea F.C.,Austria,DBpedia
Arjen Robben,Chelsea F.C.,Netherlands,DBpedia
Antonio Valencia,Manchester United F.C.,Ecuador,DBpedia
Mikaël Silvestre,Arsenal F.C.,France,DBpedia
Tony Dorigo,Chelsea F.C.,Australia,DBpedia
Ramón Hicks,Manchester United F.C.,Paraguay,DBpedia
Caesar Jenkyns,Arsenal F.C.,United Kingdom,DBpedia
Rhys Weston,Arsenal F.C.,United Kingdom,DBpedia
"Andy Duncan (footballer, born 1977)",Manchester United F.C.,United Kingdom,DBpedia
"Andy Walker (footballer, born 1891)",Chelsea F.C.,United Kingdom,DBpedia
Darren Wood,Chelsea F.C.,United Kingdom,DBpedia
Ian Gillibrand,Arsenal F.C.,United Kingdom,DBpedia
Tom Walley,Arsenal F.C.,United Kingdom,DBpedia
"Peter Jones (footballer, born 1937)",Manchester United F.C.,United Kingdom,DBpedia
Tony Gill,Manchester United F.C.,United Kingdom,DBpedia
Tony Young (footballer),Manchester United F.C.,United Kingdom,DBpedia
"Tom Davies (footballer, born 1992)",Manchester United F.C.,United Kingdom,DBpedia
Willis Rippon,Arsenal F.C.,United Kingdom,DBpedia
"David James (footballer, born 1917)",Chelsea F.C.,United Kingdom,DBpedia
Arthur Kempton,Arsenal F.C.,United Kingdom,DBpedia
Greg Allen (footballer),Arsenal F.C.,United Kingdom,DBpedia
Manolis Kragiopoulos,Arsenal F.C.,Greece,DBpedia
"Paul Jones (footballer, born September 1953)",Manchester United F.C.,United Kingdom,DBpedia
Adrian Doherty,Manchester United F.C.,United Kingdom,DBpedia
Gervinho,Arsenal F.C.,Ivory Coast,DBpedia
Omar Rekik,Arsenal F.C.,Netherlands,DBpedia
Mateja Kežman,Chelsea F.C.,Serbia,DBpedia
Shola Shoretire,Manchester United F.C.,United Kingdom,DBpedia
"Morten Nielsen (footballer, born 1990)",Chelsea F.C.,Danish Realm,DBpedia
Ray Baartz,Manchester United F.C.,Australia,DBpedia
Jacob Carney,Manchester United F.C.,United Kingdom,DBpedia
Graham Stack (footballer),Arsenal F.C.,United Kingdom,DBpedia
Danny Clapton,Arsenal F.C.,United Kingdom,DBpedia
Charles Lewis (footballer),Arsenal F.C.,United Kingdom,DBpedia
Jock Robson,Arsenal F.C.,United Kingdom,DBpedia
Benny Jones,Chelsea F.C.,United Kingdom,DBpedia
Bill Routledge,Chelsea F.C.,United Kingdom,DBpedia
Charlie Richards,Manchester United F.C.,United Kingdom,DBpedia
Charles Mackie (Scottish footballer),Manchester United F.C.,United Kingdom,DBpedia
"George Henderson (footballer, born 1880)",Chelsea F.C.,United Kingdom,DBpedia
"George Hunt (footballer, born 1910)",Arsenal F.C.,United Kingdom,DBpedia
George Haslam (footballer),Manchester United F.C.,United Kingdom,DBpedia
Sandy Main,Arsenal F.C.,United Kingdom,DBpedia
George Lake (footballer),Chelsea F.C.,United Kingdom,DBpedia
Frank Boulton (footballer),Arsenal F.C.,United Kingdom,DBpedia
Jonathan Dinzeyi,Arsenal F.C.,United Kingdom,DBpedia
"Jimmy Smith (footballer, born 1987)",Chelsea F.C.,United Kingdom,DBpedia
Perry Groves,Arsenal F.C.,United Kingdom,DBpedia
Gavin Peacock,Chelsea F.C.,United Kingdom,DBpedia
Arthur Worrall,Arsenal F.C.,United Kingdom,DBpedia
Pat Baldwin (footballer),Chelsea F.C.,City status in the United Kingdom,DBpedia
Steve Livingstone,Chelsea F.C.,United Kingdom,DBpedia
Ernie Ackerley,Manchester United F.C.,United Kingdom,DBpedia
"George Adams (footballer, born 1947)",Chelsea F.C.,United Kingdom,DBpedia
Innes Ritchie,Chelsea F.C.,United Kingdom,DBpedia
Craig Dean (footballer),Manchester United F.C.,United Kingdom,DBpedia
Jock Caldwell,Arsenal F.C.,Scotland,DBpedia
Matty Willock,Manchester United F.C.,United Kingdom,DBpedia
Jackie Blanchflower,Manchester United F.C.,United Kingdom,DBpedia
"Neto (footballer, born 1989)",Arsenal F.C.,Brazil,DBpedia
Phil Bardsley,Manchester United F.C.,United Kingdom,DBpedia
Alex Oxlade-Chamberlain,Arsenal F.C.,United Kingdom,DBpedia
Dylan Levitt,Manchester United F.C.,United Kingdom,DBpedia
"Rafael (footballer, born 1990)",Manchester United F.C.,Brazil,DBpedia
Ricardo Quaresma,Chelsea F.C.,Portugal,DBpedia
"Alex Forsyth (footballer, born 1952)",Manchester United F.C.,United Kingdom,DBpedia
Stan Willemse,Chelsea F.C.,United Kingdom,DBpedia
"Noel O'Brien (footballer, born 1956)",Arsenal F.C.,United Kingdom,DBpedia
Tyreece John-Jules,Arsenal F.C.,United Kingdom,DBpedia
Frank Leboeuf,Chelsea F.C.,France,DBpedia
Danny Galbraith,Manchester United F.C.,United Kingdom,DBpedia
Guy Demel,Arsenal F.C.,France,DBpedia
Jim Leighton,Manchester United F.C.,Scotland,DBpedia
Alexis Nicolas,Chelsea F.C.,United Kingdom,DBpedia
Carlin Itonga,Arsenal F.C.,Democratic Republic of the Congo,DBpedia
Carl Dale,Arsenal F.C.,United Kingdom,DBpedia
Len Allum,Chelsea F.C.,United Kingdom,DBpedia
Albert Ross (footballer),Arsenal F.C.,United Kingdom,DBpedia
Gary Bailey,Manchester United F.C.,United Kingdom,DBpedia
"John Connelly (footballer, born 1938)",Manchester United F.C.,United Kingdom,DBpedia
Franco Di Santo,Chelsea F.C.,Argentina,DBpedia
Jim Holton,Manchester United F.C.,Scotland,DBpedia
Alf Common,Arsenal F.C.,United Kingdom,DBpedia
Bob Donaldson,Manchester United F.C.,Scotland,DBpedia
Kian Best,Chelsea F.C.,United Kingdom,DBpedia
"Gordon Davies (footballer, born 1955)",Chelsea F.C.,United Kingdom,DBpedia
Henry Boyd (footballer),Manchester United F.C.,United Kingdom,DBpedia
Norrie Davidson,Chelsea F.C.,Scotland,DBpedia
Krystal Parker,Manchester United F.C.,United Kingdom,DBpedia
Lindsay McKeown,Manchester United F.C.,United Kingdom,DBpedia
Kostas Pileas,Arsenal F.C.,Cyprus,DBpedia
Fran Mérida,Arsenal F.C.,Spain,DBpedia
Ritchie De Laet,Manchester United F.C.,Belgium,DBpedia
Ray Parlour,Arsenal F.C.,United Kingdom,DBpedia
Derek Kevan,Chelsea F.C.,United Kingdom,DBpedia
George Male,Arsenal F.C.,United Kingdom,DBpedia
"Billy Hughes (footballer, born 1918)",Chelsea F.C.,United Kingdom,DBpedia
Billy Goodwin,Manchester United F.C.,United Kingdom,DBpedia
Bob Turnbull,Chelsea F.C.,Scotland,DBpedia
Billy Woodward (footballer),Manchester United F.C.,United Kingdom,DBpedia
"Bob McFarlane (footballer, died 1898)",Manchester United F.C.,Scotland,DBpedia
Brian Chambers (footballer),Arsenal F.C.,United Kingdom,DBpedia
"Jimmy Kelly (footballer, born 1957)",Manchester United F.C.,United Kingdom,DBpedia
Nathan Blake,Chelsea F.C.,United Kingdom,DBpedia
Reg Chester,Manchester United F.C.,United Kingdom,DBpedia
Luke Webb,Arsenal F.C.,United Kingdom,DBpedia
Stuart Brightwell,Manchester United F.C.,United Kingdom,DBpedia
"Sean McAllister (footballer, born 1987)",Manchester United F.C.,United Kingdom,DBpedia
Joe Heath,Manchester United F.C.,United Kingdom,DBpedia
Ron Ferrier,Manchester United F.C.,United Kingdom,DBpedia
Roy Killin,Manchester United F.C.,Canada,DBpedia
William Bradshaw (footballer),Arsenal F.C.,England,DBpedia
William Campbell (footballer),Arsenal F.C.,Scotland,DBpedia
Joe Clare,Arsenal F.C.,United Kingdom,DBpedia
Lee Butcher,Arsenal F.C.,United Kingdom,DBpedia
"James Boyle (footballer, born 1866)",Arsenal F.C.,United Kingdom,DBpedia
Martin Graiciar,Arsenal F.C.,Czech Republic,DBpedia
Allen Scotting,Arsenal F.C.,United Kingdom,DBpedia
"Harry Morris (footballer, born 1900)",Manchester United F.C.,United Kingdom,DBpedia
Alan Hudson,Arsenal F.C.,United Kingdom,DBpedia
"John Prentice (footballer, born 1898)",Manchester United F.C.,United Kingdom,DBpedia
"Fred Lewis (footballer, born 1923)",Chelsea F.C.,United Kingdom,DBpedia
Tosan Popo,Chelsea F.C.,United Kingdom,DBpedia
Hubert Graczyk,Arsenal F.C.,Poland,DBpedia
"Arthur Sales (footballer, born 1900)",Chelsea F.C.,United Kingdom,DBpedia
Matej Delač,Chelsea F.C.,Bosnia and Herzegovina,DBpedia
Paul Elliott (footballer),Chelsea F.C.,United Kingdom,DBpedia
"Ben Smith (footballer, born 1978)",Arsenal F.C.,United Kingdom,DBpedia
"Philip Smith (footballer, born 1885)",Chelsea F.C.,United Kingdom,DBpedia
"John Russell (footballer, born 1872)",Arsenal F.C.,United Kingdom,DBpedia
Joe McIntyre (footballer),Manchester United F.C.,United Kingdom,DBpedia
Fred Milnes,Manchester United F.C.,United Kingdom,DBpedia
James Gotheridge,Manchester United F.C.,United Kingdom,DBpedia
Jackie Wassall,Manchester United F.C.,United Kingdom,DBpedia
Bacary Sagna,Arsenal F.C.,France,DBpedia
Samir Nasri,Arsenal F.C.,France,DBpedia
Danilo Pantić,Chelsea F.C.,Serbia,DBpedia
Adrian Clarke (footballer),Arsenal F.C.,United Kingdom,DBpedia
Brian Nicholas,Chelsea F.C.,United Kingdom,DBpedia
Stephen Cooke,Manchester United F.C.,United Kingdom,DBpedia
"Joe Powell (footballer, born 1870)",Arsenal F.C.,United Kingdom,DBpedia
Alec Donald,Chelsea F.C.,United Kingdom,DBpedia
Alec Gaskell,Manchester United F.C.,United Kingdom,DBpedia
Andie Newton,Manchester United F.C.,United Kingdom,DBpedia
"Paul Edwards (footballer, born 1947)",Manchester United F.C.,United Kingdom,DBpedia
"Dennis Evans (footballer, born 1930)",Arsenal F.C.,England,DBpedia
Jim Furnell,Arsenal F.C.,United Kingdom,DBpedia
George Kennedy (Scottish footballer),Chelsea F.C.,United Kingdom,DBpedia
Des McLean (footballer),Arsenal F.C.,United Kingdom,DBpedia
Reg Boreham,Arsenal F.C.,United Kingdom,DBpedia
Benoît Badiashile,Chelsea F.C.,France,DBpedia
Enzo Fernández,Chelsea F.C.,Argentina,DBpedia
Henrikh Mkhitaryan,Arsenal F.C.,Armenia,DBpedia
Ethan Nwaneri,Arsenal F.C.,United Kingdom,DBpedia
David de Gea,Manchester United F.C.,Spain,DBpedia
Max Dowman,Arsenal F.C.,United Kingdom,DBpedia
Álvaro Carreras,Manchester United F.C.,Spain,DBpedia
Tyrique George,Chelsea F.C.,United Kingdom,DBpedia
Febian Brandy,Manchester United F.C.,United Kingdom,DBpedia
"Andy King (footballer, born 1988)",Chelsea F.C.,United Kingdom,DBpedia
Oriol Romeu,Chelsea F.C.,Spain,DBpedia
Radamel Falcao,Manchester United F.C.,Colombia,DBpedia
N'Golo Kanté,Chelsea F.C.,France,DBpedia
Marco van Ginkel,Chelsea F.C.,Netherlands,DBpedia
Kyle Ebecilio,Arsenal F.C.,Netherlands,DBpedia
Pierre Issa,Chelsea F.C.,South Africa,DBpedia
Moses Barnett,Arsenal F.C.,Sierra Leone,DBpedia
Mickey Hamill,Manchester United F.C.,United Kingdom,DBpedia
Yves Ma-Kalambay,Chelsea F.C.,Belgium,DBpedia
Chris Willock,Arsenal F.C.,United Kingdom,DBpedia
Donyell Malen,Arsenal F.C.,Netherlands,DBpedia
Dion Conroy,Chelsea F.C.,United Kingdom,DBpedia
Dan Gore,Manchester United F.C.,United Kingdom,DBpedia
Dean Henderson,Manchester United F.C.,United Kingdom,DBpedia
George McEachran,Chelsea F.C.,United Kingdom,DBpedia
Joseph Olowu,Arsenal F.C.,Nigeria,DBpedia
"John Swift (footballer, born 1995)",Chelsea F.C.,United Kingdom,DBpedia
James Nolan (footballer),Manchester United F.C.,United Kingdom,DBpedia
Kieran Tierney,Arsenal F.C.,United Kingdom,DBpedia
"Lee Grant (footballer, born 1983)",Manchester United F.C.,United Kingdom,DBpedia
Luke Ayling,Arsenal F.C.,United Kingdom,DBpedia
Nathan Moriah-Welsh,Chelsea F.C.,United Kingdom,DBpedia
Robbie Brady,Manchester United F.C.,Republic of Ireland,DBpedia
Robbie Savage,Manchester United F.C.,United Kingdom,DBpedia
Semi Ajayi,Arsenal F.C.,United Kingdom,DBpedia
Toby Collyer,Manchester United F.C.,United Kingdom,DBpedia
Tahith Chong,Manchester United F.C.,Kingdom of the Netherlands,DBpedia
Łukasz Fabiański,Arsenal F.C.,Poland,DBpedia
Victor Lindelöf,Manchester United F.C.,Sweden,DBpedia
Zak Sturge,Chelsea F.C.,United Kingdom,DBpedia
Tyrell Warren,Manchester United F.C.,United Kingdom,DBpedia
Noah Ohio,Manchester United F.C.,Netherlands,DBpedia
Miro Muheim,Chelsea F.C.,Switzerland,DBpedia
Josh Benson,Arsenal F.C.,United Kingdom,DBpedia
Xavier Amaechi,Arsenal F.C.,United Kingdom,DBpedia
Mark Schwarzer,Chelsea F.C.,Australia,DBpedia
Nicklas Bendtner,Arsenal F.C.,Danish Realm,DBpedia
Fabio Borini,Chelsea F.C.,Italy,DBpedia
Willy Caballero,Chelsea F.C.,Argentina,DBpedia
Les Sealey,Manchester United F.C.,United Kingdom,DBpedia
Clem Beddow,Manchester United F.C.,United Kingdom,DBpedia
Byron Glasgow,Arsenal F.C.,United Kingdom,DBpedia
Clive Griffiths (footballer),Manchester United F.C.,United Kingdom,DBpedia
Jake Lawlor (English footballer),Manchester United F.C.,England,DBpedia
Jack Aston,Arsenal F.C.,United Kingdom,DBpedia
Jock Archibald,Chelsea F.C.,Scotland,DBpedia
Syd Hoar,Arsenal F.C.,United Kingdom,DBpedia
"Geovane (footballer, born 1992)",Arsenal F.C.,Brazil,DBpedia
Tim Elmes,Chelsea F.C.,United Kingdom,DBpedia
George Dale (footballer),Chelsea F.C.,United Kingdom,DBpedia
Zeki Fryers,Manchester United F.C.,United Kingdom,DBpedia
"Jimmy Jackson (footballer, born 1875)",Arsenal F.C.,United Kingdom,DBpedia
Ben Sampayo,Chelsea F.C.,United Kingdom,DBpedia
Mark Bosnich,Chelsea F.C.,Australia,DBpedia
"Edu (footballer, born 1978)",Arsenal F.C.,Brazil,DBpedia
Gaël Kakuta,Chelsea F.C.,France,DBpedia
Eric Bailly,Manchester United F.C.,Ivory Coast,DBpedia
"Willie Young (footballer, born 1951)",Arsenal F.C.,United Kingdom,DBpedia
Jami Puustinen,Manchester United F.C.,Finland,DBpedia
Tony Bedeau,Chelsea F.C.,United Kingdom,DBpedia
"Danny Francis (footballer, born 1986)",Arsenal F.C.,United Kingdom,DBpedia
"Steve Arnold (footballer, born 1989)",Arsenal F.C.,United Kingdom,DBpedia
"James Thomson (footballer, fl. 1912–1928)",Manchester United F.C.,Scotland,DBpedia
James Saunders (footballer),Chelsea F.C.,United Kingdom,DBpedia
David Lyner,Manchester United F.C.,United Kingdom,DBpedia
"James Robinson (footballer, born 1899)",Manchester United F.C.,United Kingdom,DBpedia
Harry Worrall,Manchester United F.C.,United Kingdom,DBpedia
Simon Lyons,Arsenal F.C.,United Kingdom,DBpedia
Francis Coquelin,Arsenal F.C.,France,DBpedia
Mikaël Silvestre,Manchester United F.C.,France,DBpedia
Kenneth Omeruo,Chelsea F.C.,Nigeria,DBpedia
Mika Biereth,Arsenal F.C.,United Kingdom,DBpedia
"Alex (footballer, born June 1982)",Chelsea F.C.,Brazil,DBpedia
Armand Traoré,Arsenal F.C.,France,DBpedia
Alexander Büttner,Manchester United F.C.,Netherlands,DBpedia
Andy Dow,Chelsea F.C.,United Kingdom,DBpedia
"Niccolò Galli (footballer, born 1983)",Arsenal F.C.,Italy,DBpedia
David Copeland (footballer),Chelsea F.C.,United Kingdom,DBpedia
David Bradley (footballer),Manchester United F.C.,United Kingdom,DBpedia
Ernie Wilkinson,Arsenal F.C.,United Kingdom,DBpedia
Joe Carolan,Manchester United F.C.,Republic of Ireland,DBpedia
"Tommy Black (footballer, born 1908)",Arsenal F.C.,United Kingdom,DBpedia
Tommy Robson,Chelsea F.C.,United Kingdom,DBpedia
Tommy O'Neil,Manchester United F.C.,United Kingdom,DBpedia
Tommy Rigg,Arsenal F.C.,United Kingdom,DBpedia
"Tommy McDermott (footballer, born 1878)",Chelsea F.C.,United Kingdom,DBpedia
Peter Woods (footballer),Manchester United F.C.,United Kingdom,DBpedia
"Sam Davies (footballer, born 1894)",Manchester United F.C.,United Kingdom,DBpedia
Tomás Reymão,Chelsea F.C.,Portugal,DBpedia
"Jamie Taylor (footballer, born 1977)",Manchester United F.C.,United Kingdom,DBpedia
José Bosingwa,Chelsea F.C.,Democratic Republic of the Congo,DBpedia
Kurt Zouma,Chelsea F.C.,France,DBpedia
Stipe Perica,Chelsea F.C.,Croatia,DBpedia
Mohamed Elneny,Arsenal F.C.,Egypt,DBpedia
Jehad Muntasser,Arsenal F.C.,Libya,DBpedia
Alan Miller (footballer),Arsenal F.C.,United Kingdom,DBpedia
Roddy McEachrane,Arsenal F.C.,Scotland,DBpedia
Colin Viljoen,Chelsea F.C.,South Africa,DBpedia
Bert Hill,Chelsea F.C.,United Kingdom,DBpedia
Bill Buckenham,Arsenal F.C.,United Kingdom,DBpedia
Bill Dickie (footballer),Chelsea F.C.,United Kingdom,DBpedia
Charlie Hare,Arsenal F.C.,United Kingdom,DBpedia
Charlie Satterthwaite,Arsenal F.C.,United Kingdom,DBpedia
William McCartney (footballer),Manchester United F.C.,Scotland,DBpedia
"Charlie Harrison (footballer, born 1861)",Manchester United F.C.,United Kingdom,DBpedia
Phil Hughes (footballer),Manchester United F.C.,United Kingdom,DBpedia
Terry Mancini,Arsenal F.C.,United Kingdom,DBpedia
George Burrell (footballer),Arsenal F.C.,United Kingdom,DBpedia
George Perrins,Manchester United F.C.,United Kingdom,DBpedia
Paddy McGuire (footballer),Manchester United F.C.,United Kingdom,DBpedia
"Reece Brown (footballer, born 1991)",Manchester United F.C.,United Kingdom,DBpedia
"Joe Spence (footballer, born 1898)",Manchester United F.C.,England,DBpedia
"Dick Duckworth (footballer, born 1882)",Manchester United F.C.,United Kingdom,DBpedia
Emmanuel Sarki,Chelsea F.C.,Nigeria,DBpedia
John Halls,Arsenal F.C.,United Kingdom,DBpedia
Peter Marinello,Arsenal F.C.,United Kingdom,DBpedia
Mark Stein (footballer),Chelsea F.C.,South Africa,DBpedia
Zeke Rowe,Chelsea F.C.,United Kingdom,DBpedia
Harry Lappin,Manchester United F.C.,United Kingdom,DBpedia
"Harry Wilkinson (footballer, born 1926)",Chelsea F.C.,United Kingdom,DBpedia
"Harry Waller (footballer, born 1917)",Arsenal F.C.,United Kingdom,DBpedia
Harry Medhurst,Chelsea F.C.,United Kingdom,DBpedia
Bobby Howlett,Chelsea F.C.,United Kingdom,DBpedia
Peter Abbott (footballer),Manchester United F.C.,United Kingdom,DBpedia
Ken O'Rourke,Arsenal F.C.,United Kingdom,DBpedia
Josh Harrop,Manchester United F.C.,United Kingdom,DBpedia
Ted Bowen,Arsenal F.C.,United Kingdom,DBpedia
"Ben Gordon (footballer, born 1991)",Chelsea F.C.,United Kingdom,DBpedia
Nwankwo Kanu,Arsenal F.C.,Nigeria,DBpedia
Yossi Benayoun,Chelsea F.C.,Israel,DBpedia
Yossi Benayoun,Arsenal F.C.,Israel,DBpedia
Charles Booth (footballer),Arsenal F.C.,United Kingdom,DBpedia
Craig McKernon,Arsenal F.C.,United Kingdom,DBpedia
Jim Leighton,Arsenal F.C.,Scotland,DBpedia
Lee Dixon,Arsenal F.C.,United Kingdom,DBpedia
Frank Simek,Arsenal F.C.,United States,DBpedia
Boy-Boy Mosia,Chelsea F.C.,South Africa,DBpedia
Roarie Deacon,Arsenal F.C.,United Kingdom,DBpedia
"Ernie Thompson (footballer, born 1909)",Manchester United F.C.,United Kingdom,DBpedia
Mark Heeley,Arsenal F.C.,United Kingdom,DBpedia
Ben Marden,Arsenal F.C.,United Kingdom,DBpedia
Peter Corthine,Chelsea F.C.,United Kingdom,DBpedia
Arthur Gómez,Manchester United F.C.,The Gambia,DBpedia
Reg Allen,Manchester United F.C.,United Kingdom,DBpedia
Luigi Gaspar,Arsenal F.C.,United Kingdom,DBpedia
Nacer Barazite,Arsenal F.C.,Netherlands,DBpedia
Danny Simpson,Manchester United F.C.,United Kingdom,DBpedia
Sammy Nelson,Arsenal F.C.,United Kingdom,DBpedia
Enoch West,Manchester United F.C.,United Kingdom,DBpedia
Richard Olise,Chelsea F.C.,United Kingdom,DBpedia
Tommy Bamford,Manchester United F.C.,United Kingdom,DBpedia
Charlie Colkett,Chelsea F.C.,United Kingdom,DBpedia
Herbert Broomfield,Manchester United F.C.,United Kingdom,DBpedia
Peggy Lokando,Arsenal F.C.,United Kingdom,DBpedia
Peter O'Sullivan (Welsh footballer),Manchester United F.C.,United Kingdom,DBpedia
Domingos Quina,Chelsea F.C.,Guinea-Bissau,DBpedia
Kristopher Da Graca,Arsenal F.C.,Sweden,DBpedia
George Davie (footballer),Arsenal F.C.,Scotland,DBpedia
"George Payne (footballer, born 1887)",Arsenal F.C.,United Kingdom,DBpedia
"Kevin Wright (footballer, born 1995)",Chelsea F.C.,United Kingdom,DBpedia
Tom Pirie,Manchester United F.C.,United Kingdom,DBpedia
Francis O'Hara,Chelsea F.C.,Scotland,DBpedia
Junichi Inamoto,Arsenal F.C.,Japan,DBpedia
Håvard Nordtveit,Arsenal F.C.,Norway,DBpedia
Asier del Horno,Chelsea F.C.,Spain,DBpedia
